ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},"Sant Cugat Theater csv names ""Etiqueta del Punto"""
1,De-centralized data,Flow temperature chiller.,C,Sant Cugat - Theater,santcugat_theater_BMS_Flow_temperature_chiller_Production,Flow_temperature_chiller_Production,T.IMP.ENFR.
2,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Dressing_Room,Heat_Pump_Status_Dressing_Room,EST.B.C.CL.6
3,De-centralized data,Heat Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Heat_Pump_Status_Stage,Heat_Pump_Status_Stage,EST.B.C.CL.7
4,De-centralized data,Cold Pump Status.,%,Sant Cugat - Theater,santcugat_theater_BMS_Cold_Pump_Status_Stage,Cold_Pump_Status_Stage,EST.B.F.CL.7
5,De-centralized data,Chiller cold pump principal distribution 1 Status .,%,Sant Cugat - Theater,santcugat_theater_BMS_Chiller_cold_pump_principal_distribution_1_Status_Production,Chiller_cold_pump_principal_distribution_1_Status_Production,EST.B.1.ENFR.
6,De-centralized data,Fan return status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_return_status_of_the_climate_control_Stage,Fan_return_status_of_the_climate_control_Stage,EST.RET.CL.7
7,De-centralized data,Chiller cold pump principal distribution 2 Status .,%,Sant Cugat - Theater,santcugat_theater_BMS_Chiller_cold_pump_principal_distribution_2_Status_Production,Chiller_cold_pump_principal_distribution_2_Status_Production,EST.B.2.ENFR.
8,De-centralized data,Chiller Status,%,Sant Cugat - Theater,santcugat_theater_BMS_Chiller_Status_Production,Chiller_Status_Production,EST.ENFR.
9,De-centralized data,Return temperature chiller.,C,Sant Cugat - Theater,santcugat_theater_BMS_Return_temperature_chiller_Production,Return_temperature_chiller_Production,T.RET.ENFR.
10,De-centralized data,Fan status of the climate control. (1/0 = ON/OFF),ON/OFF,Sant Cugat - Theater,santcugat_theater_BMS_Fan_status_of_the_climate_control_Essays,Fan_status_of_the_climate_control_Essays,EST.CL.1
