ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},file name header
1,De-centralized data,Temperature of zone 1,°C,Savona - School,savona_school_bms_Temperature_zone_1,Temperature_zone_1,Temperatura 1
2,De-centralized data,Temperature of zone 2,°C,Savona - School,savona_school_bms_Temperature_zone_2,Temperature_zone_2,Temperatura 2
3,De-centralized data,Temperature of zone 3,°C,Savona - School,savona_school_bms_Temperature_zone_3,Temperature_zone_3,Temperatura 3
4,De-centralized data,Temperature of zone 4,°C,Savona - School,savona_school_bms_Temperature_zone_4,Temperature_zone_4,Temperatura 4
5,De-centralized data,Temperature of zone 5,°C,Savona - School,savona_school_bms_Temperature_zone_5,Temperature_zone_5,Temperatura 5
6,De-centralized data,Temperature of zone 6,°C,Savona - School,savona_school_bms_Temperature_zone_6,Temperature_zone_6,Temperatura 6
7,De-centralized data,Radiation on the PV field,W/m2,Savona - School,savona_school_bms_Radiation_on_the_PV_field,Radiation_on_the_PV_field,Solarimetro
8,De-centralized data,Main switchboard - active power phase 1,W,Savona - School,savona_school_bms_Main_switchboard_active_power_phase_1,Main_switchboard_active_power_phase_1,Generale - P1
9,De-centralized data,Main switchboard - active power phase 2,W,Savona - School,savona_school_bms_Main_switchboard_active_power_phase_2,Main_switchboard_active_power_phase_2,Generale - P2
10,De-centralized data,Main switchboard - active power phase 3,W,Savona - School,savona_school_bms_Main_switchboard_active_power_phase_3,Main_switchboard_active_power_phase_3,Generale - P3
11,De-centralized data,Main switchboard - energy imported from the network,Wh,Savona - School,savona_school_bms_Main_switchboard_energy_imported,Main_switchboard_energy_imported,Generale - Energia attiva
12,De-centralized data,Main switchboard - energy exported to the network ,Wh,Savona - School,savona_school_bms_Main_switchboard_energy_exported,Main_switchboard_energy_exported,Generale - Energia attiva esportata
13,De-centralized data,Pertini main feeder - active power phase 1,W,Savona - School,savona_school_bms_Pertini_main_feeder_active_power_phase_1,Pertini_main_feeder_active_power_phase_1,Generale Pertini - P1
14,De-centralized data,Pertini main feeder - active power phase 2,W,Savona - School,savona_school_bms_Pertini_main_feeder_active_power_phase_2,Pertini_main_feeder_active_power_phase_2,Generale Pertini - P2
15,De-centralized data,Pertini main feeder - active power phase 3,W,Savona - School,savona_school_bms_Pertini_main_feeder_active_power_phase_3,Pertini_main_feeder_active_power_phase_3,Generale Pertini - P3
16,De-centralized data,Pertini main feeder - energy imported,Wh,Savona - School,savona_school_bms_Pertini_main_feeder_energy_imported,Pertini_main_feeder_energy_imported,Generale Pertini - Energia attiva
17,De-centralized data,Pertini main feeder - energy exported,Wh,Savona - School,savona_school_bms_Pertini_main_feeder_energy_exported,Pertini_main_feeder_energy_exported,Generale Pertini - Energia attiva esportata
18,De-centralized data,Colombo main feeder - active power phase 1,W,Savona - School,savona_school_bms_Colombo_main_feeder_active_power_phase_1,Colombo_main_feeder_active_power_phase_1,Generale Colombo - P1
19,De-centralized data,Colombo main feeder - active power phase 2,W,Savona - School,savona_school_bms_Colombo_main_feeder_active_power_phase_2,Colombo_main_feeder_active_power_phase_2,Generale Colombo - P2
20,De-centralized data,Colombo main feeder - active power phase 3,W,Savona - School,savona_school_bms_Colombo_main_feeder_active_power_phase_3,Colombo_main_feeder_active_power_phase_3,Generale Colombo - P3
