ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},Zaanstad csv NPO Description
4,De-centralized data,"Buildingpart GH, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartGH,totalelectricity,B1 E-kWh SHVK-B1 L-1.16 (uur)
5,De-centralized data,"Buildingpart EF, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartEF,totalelectricity,B2 E-kWh SHVK-B2 L-1.25 (uur)
6,De-centralized data,"Buildingpart CD, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartCD,totalelectricity,B3 E-kWh SHVK-B3 L-1.31 (uur)
7,De-centralized data,Outdoor Relative Humidity,kWh,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_humidity,outdoor_humidity,Buiten rv weerstation
8,De-centralized data,Outdoor temperature,C,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_temperature,outdoor_temperature,Buitentemperatuur
9,De-centralized data,Outdoor temperature (this one is more accurate),C,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_temperature_accurate,outdoor_temperature_accurate,Buitentemperatuur weerstation
10,De-centralized data,Gas meter bus station,m3,Zaanstad - Town hall,zaanstad_townhall_bms_gasmeter_busstation,busstation_gas,Gasmeter busstation
11,De-centralized data,Gas meter City Hall,m3,Zaanstad - Town hall,zaanstad_townhall_bms_gasmeter_cityhall,cityhall_gas,Gasmeter Stadhuis
148,De-centralized data,Room temperature C21 meeting room 12,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C21_meetingroom_12,room_temperature_C21_meetingroom_12,Ruimte temperatuur C-.21 Spreekkamer 25
149,De-centralized data,Office space temperature C0.02 field C0,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_02_field_C0,room_temperature_C0_02_field_C0,Ruimte temperatuur C0.02 Kantoor werkveld C0
150,De-centralized data,Room temperature meeting room C0.03 12,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_03_meetingroom_12,room_temperature_C0_03_meetingroom_12,Ruimte temperatuur C0.03 Spreekkamer 12
151,De-centralized data,Room temperature meeting room C0.04 13,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_04_meetingroom_13,room_temperature_C0_04_meetingroom_13,Ruimte temperatuur C0.04 Spreekkamer 13
152,De-centralized data,Room temperature meeting room C0.05 14,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_05_meetingroom_14,room_temperature_C0_05_meetingroom_14,Ruimte temperatuur C0.05 Spreekkamer 14
153,De-centralized data,Room temperature meeting room C0.06 15,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_06_meetingroom_15,room_temperature_C0_06_meetingroom_15,Ruimte temperatuur C0.06 Spreekkamer 15
154,De-centralized data,C0.07 office space temperature field C0,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_07_field_C0,room_temperature_C0_07_field_C0,Ruimte temperatuur C0.07 kantoor werkveld C0
155,De-centralized data,Room temperature C0.17 Ondertrouw Room,C,Zaanstad - Town hall,zaanstad_townhall_bms__room_temperature_C0_17_Ondertrouw_room,room_temperature_C0_17_Ondertrouw_room,Ruimte temperatuur C0.17 Ondertrouwkamer
