ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},Zaanstad csv NPO Description
1,De-centralized data,"Buildingpart AB, total electricity main distribution A (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartAB_A,totalelectricity_maindistributionA,A totaal E-kWh HVK A-1.39 (uur)
2,De-centralized data,Presence F2.04,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy,presence_F2_04,Aanwezigheid F2.04
3,De-centralized data,"Buildingpart AB, total electricity main distribution B (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartAB_B,totalelectricity_maindistributionB,B totaal E-kWh HVK A-1.39 (uur)
4,De-centralized data,"Buildingpart GH, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartGH,totalelectricity,B1 E-kWh SHVK-B1 L-1.16 (uur)
5,De-centralized data,"Buildingpart EF, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartEF,totalelectricity,B2 E-kWh SHVK-B2 L-1.25 (uur)
6,De-centralized data,"Buildingpart CD, total electricity (logged every hour)",kWh,Zaanstad - Town hall,zaanstad_townhall_bms_electricity_BuildingpartCD,totalelectricity,B3 E-kWh SHVK-B3 L-1.31 (uur)
7,De-centralized data,Outdoor Relative Humidity,kWh,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_humidity,outdoor_humidity,Buiten rv weerstation
8,De-centralized data,Outdoor temperature,C,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_temperature,outdoor_temperature,Buitentemperatuur
9,De-centralized data,Outdoor temperature (this one is more accurate),C,Zaanstad - Town hall,zaanstad_townhall_bms_outdoor_temperature_accurate,outdoor_temperature_accurate,Buitentemperatuur weerstation
10,De-centralized data,Gas meter bus station,m3,Zaanstad - Town hall,zaanstad_townhall_bms_gasmeter_busstation,busstation_gas,Gasmeter busstation
11,De-centralized data,Gas meter City Hall,m3,Zaanstad - Town hall,zaanstad_townhall_bms_gasmeter_cityhall,cityhall_gas,Gasmeter Stadhuis
12,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_B3_03,attendancebutton_B3_03,Presentie knop B3.03
13,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_B3_04,attendancebutton_B3_04,Presentie knop B3.04
14,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_B4_03,attendancebutton_B4_03,Presentie knop B4.03
15,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C1_03,attendancebutton_C1_03,Presentie knop C1.03
16,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C1_04,attendancebutton_C1_04,Presentie knop C1.04
17,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C2_03,attendancebutton_C2_03,Presentie knop C2.03
18,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C3_03,attendancebutton_C3_03,Presentie knop C3.03
19,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C3_04,attendancebutton_C3_04,Presentie knop C3.04
20,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C4_03,attendancebutton_C4_03,Presentie knop C4.03
21,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_C4_04,attendancebutton_C4_04,Presentie knop C4.04
22,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D0_03,attendancebutton_D0_03,Presentie knop D0.03
23,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D0_04,attendancebutton_D0_04,Presentie knop D0.04
24,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D1_03,attendancebutton_D1_03,Presentie knop D1.03
25,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D1_04,attendancebutton_D1_04,Presentie knop D1.04
26,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D2_03,attendancebutton_D2_03,Presentie knop D2.03
27,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D2_04,attendancebutton_D2_04,Presentie knop D2.04
28,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D3_03,attendancebutton_D3_03,Presentie knop D3.03
29,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D3_04,attendancebutton_D3_04,Presentie knop D3.04
30,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D4_03,attendancebutton_D4_03,Presentie knop D4.03
31,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_D4_04,attendancebutton_D4_04,Presentie knop D4.04
32,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E0_03,attendancebutton_E0_03,Presentie knop E0.03
33,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E0_04,attendancebutton_E0_04,Presentie knop E0.04
34,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E1_03,attendancebutton_E1_03,Presentie knop E1.03
35,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E1_04,attendancebutton_E1_04,Presentie knop E1.04
36,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E2_03,attendancebutton_E2_03,Presentie knop E2.03
37,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E2_04,attendancebutton_E2_04,Presentie knop E2.04
38,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E3_03,attendancebutton_E3_03,Presentie knop E3.03
39,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E3_04,attendancebutton_E3_04,Presentie knop E3.04
40,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E4_03,attendancebutton_E4_03,Presentie knop E4.03
41,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_E4_04,attendancebutton_E4_04,Presentie knop E4.04
42,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F0_03,attendancebutton_F0_03,Presentie knop F0.03
43,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F02_04,attendancebutton_F02_04,Presentie knop F02.04
44,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F03_04,attendancebutton_F03_04,Presentie knop F03.04
45,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F1_03,attendancebutton_F1_03,Presentie knop F1.03
46,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F1_04,attendancebutton_F1_04,Presentie knop F1.04
47,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F2_03,attendancebutton_F2_03,Presentie knop F2.03
48,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F3_03,attendancebutton_F3_03,Presentie knop F3.03
49,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F4_03,attendancebutton_F4_03,Presentie knop F4.03
50,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_F4_04,attendancebutton_F4_04,Presentie knop F4.04
51,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G1_03,attendancebutton_G1_03,Presentie knop G1.03
52,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G1_04,attendancebutton_G1_04,Presentie knop G1.04
53,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G2_03,attendancebutton_G2_03,Presentie knop G2.03
54,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G2_04,attendancebutton_G2_04,Presentie knop G2.04
55,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G3_03,attendancebutton_G3_03,Presentie knop G3.03
56,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G3_04,attendancebutton_G3_04,Presentie knop G3.04
57,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G4_03,attendancebutton_G4_03,Presentie knop G4.03
58,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_G4_04,attendancebutton_G4_04,Presentie knop G4.04
59,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H0_03,attendancebutton_H0_03,Presentie knop H0.03
60,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H1_03,attendancebutton_H1_03,Presentie knop H1.03
61,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H2_02,attendancebutton_H2_02,Presentie knop H2.02
62,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H2_03,attendancebutton_H2_03,Presentie knop H2.03
63,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H3_02,attendancebutton_H3_02,Presentie knop H3.02
64,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H3_03,attendancebutton_H3_03,Presentie knop H3.03
65,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H4_02,attendancebutton_H4_02,Presentie knop H4.02
66,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H4_03,attendancebutton_H4_03,Presentie knop H4.03
67,De-centralized data,Attendance button,yes/no,Zaanstad - Town hall,zaanstad_townhall_bms_occupancy_H4_04,attendancebutton_H4_04,Presentie knop H4.04
